cluster,BMI,ORRECIPEDESC,count
0,14,ciorba de legume cu carne de pui,2
0,14,snitel,1
0,14,piure de cartofi,1
0,17,piure de cartofi,1
0,17,chiftele,1
0,18,chiftele,1
0,18,salata de rosii si castraveti,1
0,19,apa plata cu lamaie,8
0,19,piure de cartofi,8
0,19,chiftele,5
0,20,piure de cartofi,9
0,20,cafea cu lapte (fara zahar),5
0,20,snitel,4
0,21,piure de cartofi,16
0,21,supa de legume,7
0,21,snitel,7
0,22,piure de cartofi,29
0,22,supa de legume,14
0,22,ciorba de legume,9
0,23,ciorba de legume,25
0,23,piure de cartofi,24
0,23,mancare de cartofi,13
0,24,piure de cartofi,59
0,24,supa de legume,25
0,24,ciorba de legume,19
0,25,piure de cartofi,41
0,25,supa de legume,25
0,25,ciorba de legume,25
0,26,piure de cartofi,60
0,26,ciorba de legume,32
0,26,supa de legume,21
0,27,piure de cartofi,50
0,27,ciorba de legume,23
0,27,snitel,19
0,28,piure de cartofi,39
0,28,supa de legume,38
0,28,ciorba de legume,27
0,29,piure de cartofi,28
0,29,mancare gatita,22
0,29,ciorba de legume,19
0,30,piure de cartofi,45
0,30,ciorba de vitel,20
0,30,ciorba de legume,19
0,31,piure de cartofi,16
0,31,snitel,10
0,31,ciorba de legume,9
0,32,piure de cartofi,18
0,32,snitel,8
0,32,supa de zarzavat cu galuste,7
0,33,piure de cartofi,9
0,33,supa de zarzavat cu galuste,7
0,33,mancare gatita,7
0,34,piure de cartofi,14
0,34,salata de rosii,11
0,34,supa de legume,6
0,35,piure de cartofi,5
0,35,supa de legume,3
0,35,ciorba de legume,2
0,36,spritz,7
0,36,piure de cartofi,7
0,36,snitel,7
0,37,piure de cartofi,6
0,37,ciorba de pui a la grec,1
0,37,mancare de cartofi,1
0,38,ciorba de vitel,4
0,38,ciorba de legume,3
0,38,ciorba de varza,2
0,39,chiftele,2
0,39,piure de cartofi,2
0,39,ciorba de legume,1
0,40,salata de rosii si castraveti,2
0,40,salata de rosii,1
0,41,ciorba de legume cu carne de porc,3
0,41,piure de cartofi,2
0,41,supa crema de legume,1
0,42,ciorba de varza,1
0,42,piure de cartofi,1
0,42,ciorba de rosii,1
0,43,piure de cartofi,3
0,43,tocanita de cartofi,2
0,43,mancare de cartofi,1
1,14,cascaval pane,1
1,14,ciorba de legume cu carne de pui,1
1,14,salata,1
1,16,pizza,3
1,16,supa de salata verde,1
1,16,mujdei de usturoi,1
1,17,salata de cruditati,3
1,17,salata de varza,3
1,17,bors de gaina,2
1,18,salata de vinete,5
1,18,prajitura de casa,5
1,18,supa,5
1,19,"salata rosii, ardei, castraveti, ceapa",10
1,19,salata de rosii,9
1,19,salata de vinete,8
1,20,piure de cartofi,21
1,20,prajitura de casa,14
1,20,supa de pasare,11
1,21,cafea cu lapte (fara zahar),13
1,21,salata de vinete,13
1,21,prajitura de casa,13
1,22,prajitura de casa,18
1,22,salata de rosii,17
1,22,ciorba taraneasca,11
1,23,ciorba taraneasca,26
1,23,prajitura de casa,20
1,23,piure de cartofi,18
1,24,ciorba taraneasca,21
1,24,salata de vinete,16
1,24,prajitura de casa,16
1,25,piure de cartofi,18
1,25,salata de varza,17
