cluster,WeightClassification,ORRECIPEDESC,count
0,Mild Thinness,ciorba taraneasca,7
0,Mild Thinness,supa de pasare,6
0,Mild Thinness,supa,5
0,Mild Thinness,piure de cartofi,5
0,Mild Thinness,cafea cu lapte (fara zahar),4
0,Moderate Thinness,mancare gatita,4
0,Moderate Thinness,corn cu ciocolata,3
0,Moderate Thinness,ciorba taraneasca,3
0,Moderate Thinness,tocanita de cartofi,2
0,Moderate Thinness,pateuri cu branza de vaci,2
0,Normal,ciorba taraneasca,120
0,Normal,bors de gaina,87
0,Normal,ciorba de perisoare,74
0,Normal,pilaf de orez,70
0,Normal,salata de vinete,63
0,Obese Class I,ciorba taraneasca,19
0,Obese Class I,bors de gaina,17
0,Obese Class I,supa de rosii,13
0,Obese Class I,salata,13
0,Obese Class I,cafea cu lapte (fara zahar),12
0,Obese Class II,salata de vinete,2
0,Obese Class II,supa de rosii,2
0,Obese Class II,mancare de fasole verde,2
0,Obese Class II,tocanita de pui,1
0,Obese Class II,sandvis,1
0,Overweight,ciorba taraneasca,73
0,Overweight,bors de gaina,69
0,Overweight,supa de pasare,56
0,Overweight,salata de vinete,54
0,Overweight,salata de varza,42
0,Severe Thinness,salata,2
0,Severe Thinness,ciorba de cartofi cu afumatura,2
0,Severe Thinness,meniu chinezesc de pui,1
1,Mild Thinness,salata de vinete,6
1,Mild Thinness,salata de cruditati,6
1,Mild Thinness,prajitura de casa,5
1,Mild Thinness,pizza,5
1,Mild Thinness,ciorba taraneasca,5
1,Moderate Thinness,pizza,3
1,Moderate Thinness,supa de salata verde,1
1,Moderate Thinness,supa de pasare,1
1,Moderate Thinness,snitel,1
1,Moderate Thinness,piure de cartofi,1
1,Normal,prajitura de casa,82
1,Normal,ciorba taraneasca,79
1,Normal,piure de cartofi,72
1,Normal,bors de gaina,55
1,Normal,salata de vinete,54
1,Obese Class I,sarmale cu carne,21
1,Obese Class I,prajitura de casa,19
1,Obese Class I,salata,14
1,Obese Class I,cafea cu lapte (fara zahar),13
1,Obese Class I,supa de pasare,12
1,Obese Class II,prajitura de casa,2
1,Obese Class II,supa de pasare cu taietei,2
1,Obese Class II,supa de pasare,2
1,Obese Class II,bors de gaina,2
1,Obese Class II,macaroane cu mac si nuca,2
1,Overweight,piure de cartofi,49
1,Overweight,sarmale cu carne,45
1,Overweight,salata de vinete,45
1,Overweight,prajitura de casa,42
1,Overweight,ciorba taraneasca,41
1,Severe Thinness,salata,1
1,Severe Thinness,ciorba de legume cu carne de pui,1
1,Severe Thinness,cascaval pane,1
2,Normal,salata de vinete,37
2,Normal,cafea cu lapte (fara zahar),29
2,Normal,prajitura de casa,22
2,Normal,bors de gaina,20
2,Normal,bors de fasole,18
2,Obese Class I,ciorba de perisoare,39
2,Obese Class I,salata de varza,36
2,Obese Class I,salata de vinete,36
2,Obese Class I,sarmale cu carne,33
2,Obese Class I,ciorba taraneasca,31
2,Obese Class II,bors de gaina,14
2,Obese Class II,ciorba de perisoare,8
2,Obese Class II,pilaf de orez,7
2,Obese Class II,sandvis,7
2,Obese Class II,ciorba de zarzavat,7
2,Obese Class III,mancare gatita,5
2,Obese Class III,ciorba de burta,4
2,Obese Class III,salata de vinete,4
2,Obese Class III,snitel de porc,4
